subject,subscribers,free,fee,reviews,avg reviews,level,lectures,duration,published date,subtitles,recommend
Management,4517,0,690,1521,4.5,Intermediate,3,93,2015-03-29,0,0
Management,6402,0,590,2199,4.0,Beginner,9,231,2011-06-28,0,0
Social Sciences,3949,1,0,2521,2.5,Beginner,12,414,2012-04-27,0,1
Social Sciences,5649,1,0,4776,5.0,Expert,5,166,2008-12-27,1,1
Personal Development,5897,0,460,2115,5.0,Intermediate,7,271,2011-04-14,0,0
Design,7795,0,400,2797,3.0,Intermediate,13,362,2015-09-30,1,0
Personal Development,6706,1,0,5535,1.0,Intermediate,16,279,2012-11-10,1,1
Information Technology,4694,0,550,3580,2.0,Expert,7,266,2005-06-03,1,0
Information Technology,8852,0,120,2230,4.5,Expert,3,97,2014-07-18,1,1
Personal Development,9835,1,0,7797,4.0,Beginner,10,323,2006-10-01,1,1
Photography,6549,0,1250,1245,2.0,Intermediate,8,332,2005-02-22,1,0
Photography,9306,0,850,4839,1.0,Beginner,8,153,2021-07-03,1,0
Science,7336,1,0,4715,3.0,Beginner,9,339,2013-10-21,0,1
Music,4990,0,490,2820,1.0,Intermediate,18,796,2002-01-19,1,0
Management,6577,0,1810,5076,3.5,Beginner,3,86,2005-04-29,0,0
Science,8137,0,900,1531,4.5,Beginner,10,225,2018-05-12,0,0
Social Sciences,9642,0,770,210,5.0,Beginner,9,269,2017-03-16,0,0
Information Technology,6698,0,1720,332,2.0,Intermediate,9,322,2007-11-24,0,0
Design,1059,1,0,812,2.5,Beginner,19,536,2008-05-20,0,1
Science,9570,0,1000,8127,4.5,Beginner,6,136,2012-05-07,1,1
Management,9538,0,100,2946,1.0,Beginner,20,284,2004-02-07,1,1
Personal Development,9577,1,0,8698,4.0,Intermediate,16,743,2003-04-16,1,1
Social Sciences,12515,1,0,9911,1.0,Beginner,1,43,2011-01-20,1,1
Music,6650,0,2700,1671,2.5,Expert,11,353,2009-10-21,0,0
Music,11119,0,1790,4160,1.5,Expert,12,377,2013-07-09,1,0
Science,8218,0,410,1118,0.0,Beginner,11,265,2004-08-03,1,0
Management,7024,0,1110,2907,1.5,Expert,13,346,2021-08-27,0,0
Science,5030,0,650,786,0.5,Beginner,14,201,2002-06-29,1,0
Personal Development,10943,0,1630,10645,1.0,Expert,4,130,2020-08-16,0,0
Personal Development,10912,0,890,4126,4.5,Expert,1,25,2007-08-30,1,0
Personal Development,6128,0,1470,4016,1.0,Beginner,8,364,2021-10-21,1,0
Management,5853,0,2320,4710,1.0,Expert,17,517,2009-05-17,1,0
Music,5686,0,410,4744,0.0,Beginner,16,381,2009-07-28,0,0
Information Technology,12014,0,760,9410,3.5,Beginner,9,235,2016-05-23,0,1
Photography,5721,1,0,5117,1.0,Expert,17,737,2002-08-05,0,1
Social Sciences,4152,1,0,2722,4.5,Intermediate,2,33,2013-11-29,0,1
Science,8016,0,350,6422,3.5,Beginner,9,284,2004-08-12,1,0
Social Sciences,8613,0,1900,2063,5.0,Intermediate,2,63,2010-02-05,1,0
Management,9249,0,1570,4877,5.0,Beginner,8,226,2021-05-15,0,0
Personal Development,2974,0,2890,924,4.0,Expert,12,396,2015-03-03,0,0
Music,9073,0,110,7650,0.5,Intermediate,4,53,2018-12-22,1,1
Music,3443,0,200,2560,1.5,Intermediate,4,123,2005-04-08,0,1
Social Sciences,3942,0,4040,1446,5.0,Beginner,7,379,2006-08-24,0,0
Information Technology,9106,1,0,2498,3.5,Expert,8,203,2008-05-05,1,1
Personal Development,10182,1,0,8871,0.0,Intermediate,12,421,2004-02-25,1,1
Science,9989,0,820,5100,2.0,Beginner,1,41,2013-05-28,0,0
Science,4400,0,4560,4026,4.5,Beginner,8,319,2010-11-20,1,1
Science,8222,0,830,3355,2.5,Beginner,12,168,2020-04-19,0,0
Design,8588,0,1020,803,0.5,Intermediate,13,461,2009-09-16,0,0
Science,7982,0,650,4048,0.5,Expert,7,217,2019-11-09,1,0
Design,6504,0,1050,4304,3.0,Beginner,18,519,2002-03-26,1,0
Photography,2447,0,1140,1904,1.0,Beginner,11,313,2008-03-18,0,0
Management,4232,1,0,2563,4.5,Intermediate,14,295,2017-11-19,1,1
Design,9227,0,280,1921,4.5,Expert,13,342,2021-07-18,1,1
Management,5738,1,0,3371,0.0,Beginner,17,700,2005-12-10,1,1
Photography,7547,1,0,5810,0.5,Beginner,11,473,2014-01-26,0,1
Personal Development,9161,1,0,1021,0.0,Beginner,4,124,2021-10-01,0,1
Music,5476,0,880,4116,2.0,Expert,11,597,2014-05-20,0,0
Photography,7415,0,2520,2966,4.0,Intermediate,7,248,2009-09-07,1,0
Music,8088,0,1000,3357,5.0,Expert,11,537,2016-01-10,1,0
Music,7739,0,1990,906,0.0,Intermediate,10,211,2007-04-05,1,0
Design,5021,0,350,414,1.5,Expert,11,435,2015-11-25,1,1
Science,6800,1,0,4624,4.5,Beginner,13,269,2017-02-28,0,1
Design,8015,0,1040,5316,3.5,Expert,19,344,2005-12-08,0,0
Design,8909,0,1760,425,0.0,Intermediate,11,332,2013-04-04,1,0
Photography,3642,0,220,3233,3.5,Expert,13,422,2009-05-04,1,1
Social Sciences,8797,0,2620,3027,2.0,Expert,11,280,2003-07-26,0,0
Design,4447,1,0,2966,1.5,Beginner,11,264,2002-05-20,0,1
Science,4512,0,490,3893,4.5,Beginner,13,306,2013-11-27,0,1
Social Sciences,2689,0,510,162,4.0,Intermediate,1,18,2015-02-28,1,0
Science,10576,0,180,831,2.5,Expert,9,364,2016-02-07,1,1
Management,8027,0,240,613,1.0,Beginner,1,33,2007-12-05,0,0
Information Technology,6510,1,0,2925,2.0,Expert,20,264,2011-10-02,1,1
Music,6276,0,680,4327,3.5,Expert,11,97,2005-01-06,1,0
Music,12604,0,290,6970,2.0,Intermediate,13,411,2002-02-14,0,1
Music,7349,0,1370,5235,4.0,Intermediate,15,406,2020-05-19,1,0
Music,10216,0,1670,8934,4.0,Expert,7,260,2014-12-16,1,0
Science,4916,1,0,1739,1.5,Beginner,8,315,2009-05-28,1,1
Management,8784,1,0,4099,4.0,Expert,11,234,2018-06-14,0,1
Photography,7317,0,830,4878,2.0,Beginner,9,240,2007-08-09,1,0
Social Sciences,10725,0,1890,3456,4.5,Beginner,14,457,2016-03-22,1,0
Photography,7606,0,2540,290,3.5,Expert,8,120,2016-04-14,0,0
Personal Development,8737,0,410,831,3.0,Intermediate,13,559,2008-07-03,0,0
Information Technology,9873,0,230,1618,3.0,Expert,2,36,2021-10-23,1,1
Science,9760,0,800,4485,1.0,Intermediate,1,9,2013-10-22,1,0
Personal Development,6186,0,200,5098,1.5,Beginner,11,331,2010-03-27,1,0
Personal Development,7331,0,270,5090,0.5,Expert,12,389,2019-07-14,1,1
Personal Development,6186,0,460,453,0.5,Intermediate,5,94,2021-05-31,1,0
Management,8992,1,0,6372,2.5,Expert,11,412,2003-11-08,1,1
Information Technology,4977,0,440,2663,4.0,Expert,2,45,2021-07-04,0,1
Information Technology,7007,0,1240,1942,3.5,Intermediate,11,384,2015-03-03,1,0
Personal Development,4051,0,470,3912,3.0,Beginner,18,655,2017-07-06,0,0
Personal Development,8758,1,0,4075,1.0,Beginner,10,435,2019-04-23,1,1
Music,6924,0,880,5691,2.5,Beginner,5,129,2003-07-07,0,0
Design,4081,1,0,2090,5.0,Intermediate,5,188,2002-10-09,1,1
Information Technology,11104,1,0,3582,2.5,Expert,11,377,2020-06-03,0,1
Personal Development,3619,1,0,547,3.0,Intermediate,3,79,2003-09-07,1,1
Music,7086,0,980,3116,1.5,Beginner,9,218,2007-02-15,0,0
Personal Development,6818,0,2260,2996,2.5,Beginner,10,233,2007-05-29,0,0
Social Sciences,7083,0,950,256,1.5,Expert,4,133,2018-12-20,1,0
Design,6910,0,2040,6673,1.5,Intermediate,15,498,2020-05-20,1,0
Information Technology,8954,1,0,968,3.5,Intermediate,9,266,2012-03-25,0,1
Design,3000,0,320,540,0.5,Expert,6,245,2010-12-27,1,1
Music,8506,1,0,1988,3.0,Intermediate,9,177,2014-07-23,0,1
Management,8631,0,110,705,4.0,Beginner,11,569,2011-12-06,1,0
Science,8965,1,0,5025,5.0,Expert,9,221,2021-05-01,1,1
Photography,7141,0,2800,323,4.5,Beginner,14,456,2021-02-24,0,0
Science,5660,0,2300,283,1.0,Expert,15,356,2016-02-28,1,0
Photography,4583,0,750,3604,0.5,Intermediate,2,54,2012-01-30,0,0
Management,6539,0,220,1623,1.0,Beginner,12,263,2011-07-01,0,0
Photography,10222,0,580,5670,3.5,Intermediate,1,40,2010-12-10,0,0
Science,7834,0,730,4640,4.0,Beginner,4,40,2005-01-19,0,0
Personal Development,5461,1,0,127,1.5,Beginner,8,298,2017-11-07,0,1
Design,7461,0,680,4046,4.0,Expert,13,327,2014-07-04,1,0
Management,11474,0,1690,3879,1.0,Beginner,22,368,2015-08-19,1,0
Personal Development,4974,0,1160,3022,2.5,Beginner,3,38,2017-08-17,1,0
Information Technology,9887,1,0,3051,1.5,Expert,4,83,2014-05-07,0,1
Science,5860,0,1830,5116,5.0,Beginner,5,126,2006-07-20,1,1
Social Sciences,7467,1,0,6685,0.0,Beginner,14,396,2016-11-21,0,1
Photography,7366,0,470,3675,0.0,Intermediate,11,289,2004-03-01,0,0
Science,10353,0,4110,8230,4.0,Intermediate,12,388,2013-05-26,0,0
Science,7716,0,2030,6238,4.0,Beginner,11,389,2004-03-04,0,0
Design,5454,0,900,1803,0.5,Intermediate,16,404,2003-09-19,1,0
Management,2827,0,2400,2383,3.0,Beginner,13,213,2015-05-29,1,0
Design,9994,0,1070,996,2.0,Expert,11,392,2013-06-08,1,0
Music,2699,0,2640,1850,4.5,Beginner,6,156,2016-01-29,0,0
Science,2332,0,2770,887,1.0,Intermediate,12,507,2018-11-29,0,0
Design,7587,0,1220,1280,5.0,Beginner,16,243,2017-09-07,1,0
Photography,8288,0,2200,4243,3.0,Expert,10,447,2008-11-02,1,0
Music,7422,0,590,3845,2.0,Expert,6,227,2008-11-15,0,0
Photography,8282,0,540,865,4.0,Expert,15,134,2014-01-04,1,0
Social Sciences,4605,1,0,4605,5.0,Intermediate,7,315,2012-06-10,1,1
Personal Development,9222,1,0,2692,4.5,Intermediate,21,776,2005-01-27,0,1
Photography,6371,1,0,1340,4.5,Beginner,13,474,2010-03-17,1,1
Management,7842,0,870,7012,3.0,Beginner,14,453,2018-11-10,0,0
Music,11438,0,1690,9473,4.5,Beginner,12,306,2002-03-24,0,1
Design,7252,0,180,5204,0.0,Intermediate,9,189,2012-12-24,1,1
Management,6914,0,320,6773,2.5,Beginner,13,419,2015-08-14,0,0
Science,7062,0,310,3063,2.5,Beginner,6,94,2018-06-08,1,0
Information Technology,7928,0,900,7547,0.0,Expert,12,330,2004-12-20,0,0
Science,9626,0,640,1069,4.5,Beginner,9,323,2005-02-02,0,0
Personal Development,2729,0,700,538,1.5,Intermediate,7,234,2020-01-03,1,0
Social Sciences,5323,1,0,3605,4.5,Beginner,9,269,2014-12-29,0,1
Music,6935,0,3610,2253,1.5,Expert,16,506,2015-06-17,0,0
Science,4989,0,550,2600,3.5,Expert,6,184,2015-04-21,0,0
Social Sciences,10681,1,0,6472,3.5,Intermediate,9,165,2009-06-21,0,1
Social Sciences,9019,0,1450,7126,2.0,Expert,10,244,2017-05-14,1,0
Social Sciences,4145,0,290,1543,0.5,Expert,12,402,2005-08-27,0,1
Social Sciences,6504,1,0,4889,3.0,Intermediate,12,266,2013-10-10,1,1
Social Sciences,5895,1,0,3091,1.5,Beginner,15,620,2009-12-17,1,1
Science,10321,0,210,8116,0.5,Expert,6,149,2007-08-29,1,1
Information Technology,8020,0,460,179,1.0,Expert,13,295,2014-12-06,0,1
Design,7489,0,3190,2469,5.0,Intermediate,8,163,2015-05-19,0,0
Personal Development,11387,0,3500,3848,0.0,Beginner,9,244,2015-10-16,0,0
Science,10241,0,360,5721,1.5,Expert,6,193,2004-08-23,0,1
Social Sciences,9489,0,840,4366,4.5,Intermediate,1,25,2014-03-10,1,0
Personal Development,5550,0,140,4209,3.0,Beginner,9,102,2012-11-21,0,0
Information Technology,8722,0,1130,7813,2.0,Beginner,9,266,2009-12-03,0,0
Personal Development,9976,0,2420,2377,3.5,Intermediate,15,214,2021-10-12,0,0
Music,2712,1,0,762,3.5,Intermediate,2,73,2020-06-28,1,1
Information Technology,12212,0,190,2023,3.5,Beginner,1,25,2021-04-25,0,1
Music,4615,0,180,4542,4.5,Beginner,8,190,2009-12-30,0,1
Design,5254,1,0,2322,3.0,Intermediate,10,485,2018-07-30,0,1
Management,7928,0,720,413,0.0,Intermediate,10,282,2010-12-05,1,0
Personal Development,8959,0,2940,4536,1.0,Beginner,8,225,2005-07-10,0,0
Design,9471,0,110,2474,1.5,Intermediate,10,340,2010-01-28,1,1
Social Sciences,4012,0,1410,1398,3.5,Beginner,5,134,2010-11-22,0,0
Information Technology,4398,1,0,4045,4.0,Intermediate,10,356,2019-12-23,0,1
Science,5328,0,140,540,1.0,Beginner,5,164,2020-12-28,0,0
Social Sciences,3648,1,0,2823,0.0,Intermediate,1,28,2008-06-03,0,1
Social Sciences,9512,0,620,749,2.0,Expert,1,25,2018-06-11,0,0
Photography,8680,0,1570,1010,4.0,Intermediate,1,28,2004-04-11,1,0
Design,5911,0,1610,1507,5.0,Intermediate,20,844,2013-08-09,0,0
Photography,9137,0,520,1088,0.0,Beginner,16,390,2006-03-01,0,0
Information Technology,4933,0,1050,781,3.0,Intermediate,10,182,2016-06-07,0,0
Photography,5590,0,550,4905,4.5,Expert,13,602,2002-07-10,1,1
Design,4097,0,680,4032,1.0,Beginner,3,42,2015-06-17,1,0
Design,12800,0,2870,1050,0.5,Intermediate,16,395,2011-12-03,1,1
Management,9878,0,1760,1172,2.0,Beginner,10,306,2017-05-01,1,0
Personal Development,6219,1,0,2679,4.0,Intermediate,11,481,2004-02-13,1,1
Management,8673,0,230,4286,1.5,Beginner,7,221,2012-08-18,1,0
Photography,6448,0,400,5627,3.5,Beginner,7,170,2017-07-04,0,0
Personal Development,7291,0,4810,2413,2.0,Beginner,11,220,2004-12-04,1,0
Photography,6905,0,3940,3829,0.5,Beginner,12,568,2005-06-01,0,0
Personal Development,8135,1,0,1564,1.0,Expert,5,48,2011-03-30,1,1
Design,7871,0,740,6128,3.0,Intermediate,16,541,2015-04-25,1,0
Design,8676,0,150,4721,0.0,Intermediate,13,298,2007-10-19,0,1
Science,6996,0,1970,5599,0.5,Intermediate,10,263,2019-02-28,0,0
Science,7791,1,0,4108,3.5,Beginner,7,188,2011-01-04,0,1
Personal Development,8994,0,360,6242,0.0,Intermediate,11,466,2018-08-12,1,0
Science,10531,0,530,6676,4.5,Beginner,2,34,2003-09-06,0,0
Information Technology,10979,0,780,8914,2.5,Expert,10,291,2018-01-25,0,0
Science,5500,0,680,5383,2.0,Beginner,9,383,2012-10-31,1,0
Design,6288,1,0,215,4.0,Intermediate,4,130,2006-03-16,0,1
Design,5097,0,430,136,2.0,Intermediate,12,322,2015-12-26,1,0
Personal Development,3604,1,0,3027,4.0,Expert,5,131,2006-11-14,1,1
Social Sciences,8134,1,0,324,3.0,Intermediate,11,139,2017-04-10,0,1
Personal Development,4178,0,1360,3555,2.0,Expert,5,157,2020-07-02,0,0
Management,11106,0,4080,5300,1.5,Expert,3,111,2004-01-29,1,0
Social Sciences,7711,0,3680,5187,4.0,Intermediate,10,368,2020-02-15,0,0
Management,7881,0,3650,3167,1.0,Beginner,9,280,2020-04-20,0,0
Information Technology,5295,1,0,521,3.5,Intermediate,10,192,2011-01-04,0,1
Personal Development,9777,0,1190,4091,3.5,Expert,11,180,2006-11-10,0,0
Photography,5798,1,0,4660,2.5,Expert,16,225,2006-08-22,1,1
Music,4142,0,220,3320,2.5,Beginner,9,240,2021-01-21,1,0
Management,7785,0,270,7064,5.0,Expert,11,320,2017-04-11,0,1
Design,5767,0,2890,5580,4.0,Beginner,11,554,2015-01-19,1,0
Social Sciences,5195,0,1510,4767,3.0,Beginner,6,217,2015-07-05,0,0
Design,7549,0,1130,2164,0.5,Expert,16,398,2006-09-02,0,0
Photography,7207,0,430,2091,4.5,Expert,1,1,2018-10-21,0,1
Social Sciences,3412,0,550,3066,2.5,Expert,13,402,2018-10-21,1,0
Science,9468,1,0,2153,4.0,Beginner,8,267,2021-01-13,0,1
Social Sciences,8986,0,1260,436,2.0,Expert,12,585,2018-06-19,0,0
Information Technology,7495,1,0,3095,5.0,Beginner,12,387,2019-10-03,0,1
Social Sciences,8768,0,1120,5226,3.0,Intermediate,9,179,2019-02-14,0,0
Design,6704,0,320,2965,2.5,Expert,17,344,2006-11-30,1,1
Management,7544,0,790,2718,2.0,Expert,4,79,2006-05-04,0,0
Management,9310,0,1460,8101,3.5,Expert,10,215,2013-01-11,1,0
Social Sciences,8664,0,480,8302,4.5,Intermediate,8,204,2005-05-11,1,1
Management,3412,1,0,2068,5.0,Intermediate,11,445,2018-08-11,1,1
Information Technology,6103,0,320,1272,4.0,Intermediate,1,36,2006-04-11,1,0
Photography,7115,0,700,14,5.0,Intermediate,5,175,2004-07-08,1,0
Music,7674,0,1170,7584,1.0,Beginner,10,112,2015-10-06,0,0
Management,3413,0,400,1163,1.0,Intermediate,6,69,2011-09-28,1,0
Social Sciences,11379,1,0,2950,0.5,Expert,11,309,2007-01-29,1,1
Information Technology,4655,0,2400,1370,0.0,Expert,1,17,2016-05-21,1,0
Management,8980,0,960,455,2.0,Beginner,15,471,2021-09-28,0,0
Personal Development,8607,0,590,3479,2.5,Intermediate,10,237,2017-05-31,1,0
Music,8373,0,760,6340,4.5,Beginner,22,860,2017-10-31,1,0
Science,7679,0,210,5622,5.0,Expert,12,278,2020-01-23,0,1
Music,4753,0,760,2725,2.5,Expert,20,559,2005-12-21,0,0
Personal Development,5318,0,240,626,4.5,Expert,12,307,2016-10-28,1,1
Photography,4672,0,1420,1581,3.5,Intermediate,8,217,2018-07-25,0,0
Science,7445,0,740,5909,2.5,Intermediate,7,262,2013-01-22,0,0
Photography,4229,1,0,2970,1.0,Intermediate,10,339,2008-06-09,0,1
Music,9574,1,0,1162,5.0,Intermediate,12,350,2014-12-31,1,1
Information Technology,7204,0,1260,3699,3.5,Intermediate,9,266,2009-06-05,0,0
Management,9416,0,470,5465,2.0,Expert,10,352,2002-11-30,1,1
Design,8865,0,1660,959,5.0,Beginner,17,532,2016-07-28,0,0
Science,9791,0,550,3370,4.0,Expert,8,383,2017-06-08,0,0
Photography,5522,0,350,1224,2.0,Intermediate,15,362,2012-11-24,1,0
Personal Development,9442,0,170,5092,2.0,Intermediate,1,39,2015-09-01,1,1
Management,6359,0,240,700,0.5,Expert,2,45,2004-03-12,0,1
Design,9146,1,0,7516,4.0,Intermediate,12,395,2019-03-16,1,1
Social Sciences,4056,1,0,2305,1.5,Intermediate,14,426,2020-01-29,0,1
Photography,3681,0,710,1482,1.5,Expert,10,311,2014-01-12,1,0
Management,6067,0,3330,483,4.0,Beginner,1,23,2013-05-04,0,0
Photography,7658,0,1390,2825,2.0,Intermediate,1,39,2007-10-21,0,0
Science,7712,1,0,3927,4.0,Expert,10,283,2007-03-03,1,1
Photography,8860,0,1490,7366,5.0,Beginner,6,251,2011-05-06,0,1
Personal Development,7519,0,470,3520,3.5,Expert,17,398,2006-12-19,1,1
Science,6971,0,550,1847,3.0,Intermediate,14,287,2005-04-07,1,0
Information Technology,6729,1,0,713,4.5,Beginner,11,353,2011-03-09,0,1
Music,9136,1,0,1678,5.0,Intermediate,12,184,2015-03-11,0,1
Personal Development,4883,0,1420,1649,1.0,Intermediate,23,999,2005-01-20,1,0
Science,7171,1,0,4081,4.0,Expert,9,306,2021-04-17,0,1
Design,3055,0,640,2324,2.0,Beginner,7,305,2017-09-11,0,0
Personal Development,9839,1,0,8505,4.0,Beginner,9,104,2013-03-15,1,1
Social Sciences,10181,0,800,590,1.5,Intermediate,13,127,2020-01-01,0,0
Management,1399,0,750,867,2.5,Intermediate,13,482,2003-10-01,0,0
Social Sciences,5784,0,400,4808,2.5,Expert,16,358,2019-03-13,0,1
Science,2652,0,1840,1807,0.0,Beginner,11,384,2010-08-03,1,0
Information Technology,6019,0,3790,5033,3.0,Beginner,11,338,2008-12-11,1,0
Design,3545,1,0,3020,0.5,Expert,6,204,2012-02-23,1,1
Management,10650,0,1140,9476,1.0,Beginner,16,287,2007-06-10,0,0
Management,7738,0,980,1522,3.0,Intermediate,7,192,2011-11-03,0,0
Photography,6372,0,1210,5740,4.0,Expert,11,362,2010-08-21,0,0
Design,6434,0,160,4480,4.0,Beginner,8,264,2008-06-02,1,0
Music,6050,0,990,1996,0.0,Beginner,10,369,2013-02-02,1,0
Management,9050,1,0,2765,4.0,Expert,11,285,2013-02-23,0,1
Design,9656,0,380,5806,2.5,Intermediate,8,281,2010-07-08,0,0
Social Sciences,6700,0,1140,4955,4.5,Intermediate,19,451,2017-06-05,1,0
Social Sciences,7586,0,450,6216,0.0,Intermediate,6,143,2012-05-11,0,0
Music,6961,0,810,2246,0.0,Expert,1,31,2002-02-02,0,0
Personal Development,5434,0,2670,4286,2.5,Expert,6,247,2015-05-23,1,0
Design,6512,0,480,2736,1.0,Intermediate,18,387,2007-08-11,1,0
Photography,7118,1,0,3415,1.0,Intermediate,14,19,2004-01-07,1,1
Photography,6985,0,1520,2545,4.0,Intermediate,7,309,2009-12-16,1,0
Information Technology,6940,0,2170,4444,2.5,Expert,15,570,2008-01-05,0,0
Social Sciences,10604,0,2070,6331,5.0,Intermediate,8,173,2010-10-14,0,0
Personal Development,11344,0,230,9813,1.0,Intermediate,4,134,2015-12-20,1,1
Personal Development,8813,0,1350,7775,1.0,Intermediate,4,121,2016-03-16,1,0
Design,5620,1,0,3340,3.5,Intermediate,10,350,2003-06-01,1,1
Social Sciences,5863,1,0,4931,5.0,Beginner,19,432,2010-03-10,0,1
Information Technology,6581,0,240,862,4.0,Intermediate,13,487,2009-04-26,1,1
Music,8914,0,380,2343,1.5,Beginner,6,277,2008-09-16,1,0
Social Sciences,11187,1,0,9489,1.0,Expert,17,613,2021-04-04,1,1
Photography,8394,0,990,6805,0.5,Expert,7,280,2019-11-14,1,0
Information Technology,5591,0,470,4080,1.5,Expert,9,277,2004-11-10,1,1
Science,7924,0,780,1387,0.5,Expert,9,134,2006-09-23,0,0
Personal Development,13243,1,0,6032,0.0,Intermediate,8,347,2017-05-15,0,1
Personal Development,10296,0,2850,6030,0.5,Expert,10,503,2005-03-19,0,0
Music,853,0,790,34,4.5,Beginner,6,169,2013-11-08,0,0
Design,11439,1,0,8565,0.0,Expert,10,236,2016-08-02,0,1
Music,6084,0,2280,1545,3.5,Intermediate,15,429,2006-09-11,1,0
Science,13017,0,3210,8891,0.0,Intermediate,17,306,2011-10-18,0,1
Management,7630,0,950,7074,2.5,Intermediate,6,56,2009-11-07,1,0
Music,10136,0,620,6833,0.5,Intermediate,9,229,2019-07-04,1,0
Music,10609,0,5550,5324,1.5,Expert,18,676,2010-04-20,1,0
Design,7858,0,1530,7697,4.0,Expert,1,27,2020-08-03,0,0
Design,9931,0,2380,9688,2.5,Beginner,11,541,2018-09-11,1,0
Science,7879,0,460,2302,1.5,Expert,9,132,2007-12-30,0,1
Design,3769,0,310,51,1.5,Expert,10,329,2016-02-28,0,1
Social Sciences,10519,0,1140,10369,4.0,Expert,2,69,2011-12-19,0,0
Music,2213,0,350,858,2.5,Intermediate,4,75,2005-11-15,0,0
Management,6457,0,630,3485,4.5,Expert,7,239,2006-06-09,0,0
Personal Development,7804,0,790,7240,1.5,Expert,1,28,2016-09-19,1,0
Design,6011,0,2320,5410,1.5,Expert,1,32,2013-01-02,1,0
Design,2283,0,2260,1956,1.0,Expert,10,293,2020-02-03,1,0
Management,9492,1,0,2092,5.0,Beginner,13,311,2005-03-06,0,1
Personal Development,6602,0,1040,1219,2.0,Beginner,14,400,2004-07-02,1,0
Design,7982,0,2260,7146,0.5,Beginner,11,224,2018-12-04,0,0
Information Technology,11650,1,0,4958,4.0,Intermediate,9,355,2021-12-05,1,1
Photography,5483,0,600,4731,2.0,Beginner,19,878,2002-11-17,1,0
Personal Development,7927,0,3020,667,0.5,Intermediate,5,181,2016-01-29,1,0
Music,6712,1,0,5241,0.5,Intermediate,1,24,2021-06-15,1,1
Management,10643,0,320,423,0.0,Intermediate,10,270,2010-09-05,0,0
Management,3454,0,1950,2781,3.5,Intermediate,15,324,2006-11-13,1,0
Music,9888,1,0,8120,4.0,Beginner,1,19,2007-04-03,0,1
Music,6464,1,0,848,0.0,Intermediate,6,172,2004-02-01,0,1
Photography,5756,0,1240,3542,1.5,Expert,17,815,2010-06-06,1,0
Design,4293,0,260,2179,2.5,Expert,9,185,2020-02-02,1,1
Design,9275,0,1380,5002,2.0,Intermediate,9,372,2011-10-01,1,0
Management,9677,0,1330,2893,2.5,Intermediate,9,390,2012-08-23,0,0
Photography,9279,0,470,3490,4.5,Beginner,7,195,2018-06-07,1,0
Management,11464,0,910,1465,5.0,Expert,12,85,2003-11-19,1,0
Photography,4551,0,330,823,5.0,Intermediate,1,35,2019-12-08,1,0
Science,3841,1,0,896,2.0,Beginner,12,242,2017-12-05,1,1
Social Sciences,9039,0,600,1621,1.0,Expert,12,326,2014-10-12,1,0
Photography,8975,1,0,6602,2.5,Beginner,4,114,2018-06-14,0,1
Management,7361,0,740,7152,1.0,Beginner,16,559,2020-01-19,1,0
Personal Development,10554,0,120,2938,2.0,Intermediate,9,112,2013-09-23,1,1
Science,7315,0,2410,1308,2.0,Beginner,1,26,2005-01-24,1,0
Management,7545,0,1940,7028,0.5,Intermediate,14,189,2008-08-02,1,0
Personal Development,7313,1,0,604,1.5,Expert,6,118,2018-03-02,1,1
Information Technology,7580,0,3170,2547,5.0,Beginner,11,404,2019-10-09,0,0
Social Sciences,8908,0,630,3703,3.0,Expert,12,157,2019-03-16,1,0
Music,11662,0,560,11630,3.5,Expert,15,645,2008-02-20,1,0
Photography,6749,0,5180,4984,2.5,Expert,10,420,2008-06-01,0,0
Photography,4504,0,290,1518,1.0,Expert,11,213,2002-03-05,1,1
Social Sciences,4178,1,0,470,1.0,Expert,15,557,2016-03-13,0,1
Photography,8148,1,0,4091,1.0,Intermediate,8,214,2008-10-24,0,1
Social Sciences,6134,0,460,2096,2.5,Expert,6,135,2015-06-24,1,1
Science,7211,0,220,5568,1.0,Expert,16,377,2010-04-06,0,1
Photography,4449,0,350,2560,2.0,Expert,10,251,2013-06-05,0,1
Science,8252,0,400,2215,4.0,Expert,6,249,2018-12-15,1,1
Information Technology,6071,0,500,3408,0.5,Expert,3,156,2014-09-03,0,1
Information Technology,8904,1,0,542,4.0,Intermediate,10,220,2016-09-21,0,1
Music,9023,0,3460,577,4.5,Intermediate,12,254,2019-10-03,1,0
Photography,6573,0,1260,3117,0.0,Expert,12,419,2010-04-12,1,0
Design,4960,1,0,4512,3.5,Intermediate,8,169,2011-03-25,0,1
Management,5465,0,510,2361,0.5,Expert,8,90,2018-03-13,1,0
Design,6808,1,0,3859,1.5,Expert,10,443,2014-03-13,0,1
Information Technology,7825,0,1580,6346,3.5,Intermediate,11,373,2019-07-06,0,0
Personal Development,10771,1,0,8498,0.5,Expert,5,53,2009-08-14,1,1
Management,8657,0,1350,4247,1.5,Expert,17,537,2006-07-05,0,0
Social Sciences,5614,0,1210,4078,0.5,Beginner,3,50,2017-11-16,1,0
Design,5932,0,220,3582,1.5,Intermediate,8,324,2009-10-28,1,1
Science,9290,0,300,7553,3.0,Expert,5,174,2015-08-21,0,1
Music,8577,0,520,5565,4.0,Beginner,17,341,2016-02-07,1,0
Photography,2931,0,1310,1082,1.0,Expert,8,234,2004-07-22,0,0
Management,6278,0,340,5508,3.5,Expert,15,528,2009-05-02,1,1
